K	S1034	S1148	S1397	S1563	S1575	S1668	S1713	S1722	S1949	S1968
2	0.10804	0.10803	0.10804	0.10802	0.10797	0.10806	0.1081	0.10802	0.10797	0.10807
3	0.09512	0.09516	0.09885	0.09502	0.10397	0.09489	0.09514	0.09504	0.10432	0.09505
4	0.08918	0.09311	0.08991	0.09078	0.08912	0.09107	0.08946	0.09109	0.08977	0.09079
5	0.08449	0.08499	0.08656	0.08642	0.08947	0.08445	0.08867	0.0882	0.08395	0.08781
6	0.08031	0.07929	0.07986	0.08261	0.07902	0.08344	0.07929	0.07965	0.07938	0.07921
7	0.0742	0.07675	0.07405	0.07408	0.0785	0.0767	0.07792	0.07897	0.07773	0.07675
8	0.07469	0.07155	0.07302	0.07538	0.07698	0.0748	0.07359	0.07491	0.07351	0.07234
9	0.07172	0.07006	0.06864	0.06982	0.06835	0.07276	0.07525	0.07375	0.06878	0.07358
10	0.07227	0.06634	0.06787	0.06777	0.07178	0.06605	0.07111	0.06894	0.06686	0.06659
11	0.06624	0.06738	0.07035	0.0691	0.06614	0.0692	0.074	0.06493	0.06495	0.06513
12	0.06625	0.06682	0.06326	0.06553	0.0636	0.06256	0.06473	0.06414	0.06406	0.0678
13	0.06214	0.06176	0.06302	0.06181	0.06265	0.06221	0.06091	0.06026	0.06407	0.0612
14	0.06036	0.06161	0.06224	0.06079	0.06181	0.06436	0.06009	0.06043	0.06164	0.06117
15	0.05914	0.05881	0.05919	0.06012	0.05966	0.05902	0.05955	0.0603	0.05998	0.0592
16	0.0583	0.05761	0.05668	0.05875	0.05891	0.05898	0.05943	0.0592	0.05957	0.05942
17	0.05762	0.05814	0.05609	0.05823	0.0572	0.05705	0.05804	0.0607	0.05674	0.05901
18	0.0583	0.05661	0.05681	0.05752	0.05591	0.05559	0.05718	0.05653	0.05711	0.05692
19	0.05629	0.05534	0.05494	0.05638	0.05652	0.05671	0.05514	0.0574	0.05568	0.05611
20	0.05556	0.05452	0.05641	0.05591	0.05489	0.05565	0.05509	0.05568	0.05815	0.05487
21	0.05394	0.05434	0.05424	0.05497	0.05419	0.05426	0.05347	0.05498	0.05346	0.0544
22	0.05404	0.05427	0.05458	0.05252	0.05191	0.05372	0.05377	0.05436	0.05568	0.05419
23	0.05274	0.05204	0.05215	0.05254	0.05486	0.05103	0.05501	0.05316	0.05216	0.05627
24	0.05138	0.05246	0.05401	0.05205	0.05127	0.05391	0.05142	0.05274	0.05395	0.05421
25	0.05313	0.0514	0.05219	0.05371	0.053	0.05183	0.05185	0.05233	0.0526	0.0525
26	0.055	0.05252	0.05397	0.05276	0.05105	0.05346	0.05254	0.05181	0.05171	0.05139
27	0.05195	0.05257	0.05017	0.05205	0.05166	0.05146	0.05177	0.05138	0.05077	0.05287
28	0.05268	0.05342	0.05186	0.05279	0.05033	0.05048	0.05112	0.05134	0.05052	0.05524
29	0.05379	0.05002	0.054	0.05084	0.04944	0.05199	0.05072	0.05047	0.05267	0.05062
30	0.04963	0.04928	0.04932	0.0513	0.05123	0.0514	0.05193	0.04952	0.05258	0.05009
