isotype	PC1	PC2	PC3	PC4	geo
ECA1299	-0.1391	-0.2234	-0.0422	0.0041	Hawaii
ECA1300	-0.1393	-0.2233	-0.0423	0.0048	Hawaii
ECA1301	-0.1391	-0.2235	-0.0422	0.0041	Hawaii
ECA1302	-0.1391	-0.2235	-0.0422	0.0041	Hawaii
ECA1303	-0.1391	-0.2235	-0.0422	0.0041	Hawaii
ECA1304	-0.1391	-0.2234	-0.0422	0.0041	Hawaii
ECA1305	-0.1396	-0.2245	-0.0425	0.0041	Hawaii
ECA1307	-0.1391	-0.2234	-0.0422	0.0041	Hawaii
ECA1401	-0.1398	-0.225	-0.0426	0.0042	Hawaii
ECA1403	-0.1398	-0.225	-0.0426	0.0042	Hawaii
ECA1405	-0.1398	-0.225	-0.0426	0.0042	Hawaii
ECA1445	-0.1479	0.1108	-0.002	0.2531	Hawaii
ECA1447	-0.1479	0.1108	-0.002	0.2531	Hawaii
ECA1449	-0.1479	0.1108	-0.002	0.2531	Hawaii
ECA1451	-0.1482	0.1111	-0.0021	0.253	Hawaii
ECA1453	-0.1481	0.111	-0.002	0.254	Hawaii
ECA788	-0.1395	-0.2244	-0.0425	0.0041	Hawaii
ECA789	-0.1402	-0.226	-0.0429	0.0042	Hawaii
ECA806	-0.1629	0.1186	-0.0216	0.1962	Hawaii
HPT33	-0.1238	0.0506	0.0058	0.0335	Indonesia
JU1373	-0.1553	0.1052	-0.0294	0.0537	Africa
JU1374	-0.1555	0.1054	-0.0295	0.0539	Africa
JU1630	-0.1704	0.1188	-0.0376	-0.2202	Africa
JU1631	-0.1698	0.1182	-0.0373	-0.2171	Africa
JU1632	-0.1698	0.1182	-0.0373	-0.2171	Africa
JU1633	-0.1678	0.1163	-0.0364	-0.2103	Africa
JU1634	-0.1702	0.1185	-0.0374	-0.2176	Africa
JU1636	-0.1728	0.1204	-0.0386	-0.2263	Africa
JU1639	-0.1728	0.1204	-0.0386	-0.2263	Africa
JU1640	-0.1698	0.1182	-0.0373	-0.2171	Africa
JU1641	-0.1698	0.1182	-0.0373	-0.2171	Africa
JU1800	-0.1554	0.1053	-0.0294	0.0533	Africa
JU1818	-0.1706	0.119	-0.0377	-0.2209	South America
JU3170	-0.1573	0.1053	-0.0257	0.0577	Africa
NIC1526	-0.1722	0.1279	-0.037	0.2122	Africa
NIC1531	-0.1721	0.1279	-0.037	0.213	Africa
NIC1534	-0.1721	0.1279	-0.037	0.213	Africa
NIC1679	-0.1294	-0.1719	-0.0199	0.0124	Taiwan
